location,business_name,position,start_date,end_date,experience,wage,pay_frequency,tips,employment_type,benefits,gender,race,sexuality,notes
Portland,Case Study,Barista,2016,2017,3,11.25,Hourly,40,FT,"Free day Old pastries, free coffee during the shift, discounted merch",,,,
Portland,Stumptown Coffee,Barista,2017,Current,8,12.75,Hourly,40,FT,"Health care, free coffee, pto",,,,
Portland,The Society Hotel,Barista,2019,Current,9,12,Hourly,40,FT,"Health care, free coffee, shift meal",,,,
Portland,Water Avenue Coffee,Store Leader,2018,Current,4,15,Hourly,40,FT,"Health care, IRA, free coffee, expired beans/food",,,,
Portland,Extracto,Barista,2018,,5,,Hourly,40,PT,None,,,,
Portland,Elevator,Shift Leader,2019,,4,14.5,Hourly,40,FT,None,,,,
Portland,Stumptown Coffee,Barista,2018,Current,17,12.5,Hourly,40,PT,None,,,,
Portland,Guilder,Barista,2019,Current,8,14,Hourly,40,FT,PTO / free coffee / discounted food,,,,
Portland,Portland Coffee Roasters ,Lead Barista,2019,Current,3,14.5,Hourly,40,FT,PTO / Health Care / Free Coffee / Merch Discounts,,,,
Portland,Portland Coffee Roasters ,Lead Barista,2018,Current,2,14.5,Hourly,40,FT,"paid time off, sick pay, free coffee, shift drinks, discount on merch and food, health care (not paid for), 401k",,,,
Portland,Commissary cafè,Barista,2019,Current,4,12.5,Hourly,40,FT,"PTO after 1 year working, sick time, 401k, 2 espresso beverages per shift, discounted shift meal. ",,,,
Portland,Water Avenue Coffee,Barista,2018,Current,3,14,Hourly,40,FT,"PTO, health care, free drink, discount food, discount merch",,,,
Portland,Caffe Umbria,Shift Leader,2018,Current,12,14.5,Hourly,40,FT,"Retirement fund after 2 years, Paid sick days, vacation after a year, free coffee drinks, one 12oz bag of beans a week. ",,Caucasian ,,
Portland,Heart,Shift Leader,2012,2018,7,29,Hourly,40,FT,"sick leave, insurance, IRA, PTO that was very hard to get approved  ",,,,
Portland,Water Avenue Coffee,Retail Trainer ,2017,Current,4,16.5,Hourly,40,FT,"We get 40 hours PTO that can be used for personal time or sick days, no addition sick leave. Insurance they pay a portion of, IRA/retirement fund that they match a certain percentage of, free dink’s, 35% off food/merch. 1/2 of volunteer hours are paid. ",,,,
San Francisco,Chromatic Coffee,Assistant Manager,2018,Current,5,18,Hourly,40,PT,"Health insurance, paid sick time",,,,
San Francisco,Chromatic Coffee,Barista,2018,,5,14,Hourly,40,PT,"Health insurance, paid sick time",,,,
San Francisco,Chromatic Coffee,Shift Leader,2018,Current,0,17,Hourly,40,FT,"Kaiser Gold health insurance, no vision, no dental, no PTO",,,,
San Francisco,Bica Coffeehouse,Barista,2017,2019,0.5,13.83,Hourly,40,PT,None,,,,
San Francisco,Tartine Manufactory,Barista,2019,Current,3,17,Hourly,40,FT,PTO / Health Insurance / Free Food,,,,
San Francisco,Blue Bottle Coffee,Senior barista,2018,Current,1.5,17,Hourly,40,FT,"PTO, health insurance, 401k",,,,
San Francisco,Bluestone Lane,Team Captain,2019,Current,1,19,Hourly,40,FT,"Sick pay, health insurance, 401K",,,,
San Francisco,Voyager Craft Coffee,Shift Leader,2016,Current,10,16.5,Hourly,40,FT,They offer health and vision insurance thats partially employer subsidized ,,,,
San Francisco,Chromatic Coffee,Barback,2019,Current,5,16,Hourly,40,PT,,,,,
Seattle,Caffe Appassionato,Barista,2014,Current,0,15.5,Hourly,40,FT,Health Insurance,,,,
Seattle,Fairgrounds Coffee and Tea,Barista,2019,Current,2,14,Hourly,40,PT,health insurance ,,,,
Seattle,Bakery Nouveau,Barista,2019,Current,0,12,Hourly,40,FT,Health insurance after a certain period that I haven't met yet ,,,,
Seattle,Caffe Vita,Barista,2018,Current,2,15,Hourly,40,PT,"Health insurance, vision, dental ",,,,
Seattle,Miir,Barista,2019,,0,13,Hourly,40,FT,Insurance ,,,,
Seattle,Victrola Coffee Roasters,Barista,2013,2014,1.5,13.5,Hourly,40,PT,None,,,,
Seattle,Slate Coffee Roasters,Leadership,2012,2015,5,12.5,Hourly,40,FT,None,,,,
Seattle,Zoka,Barista,2017,2017,0,12.5,Hourly,40,PT,None,,,,
Seattle,Onda,Barista,2018,Current,2,12.5,Hourly,40,PT,None,,,,
Seattle,Kaladi Brothers Coffee,Shift Leader,2009,Current,0,24,Hourly,40,FT,"PTO / Health insurance / Sick and Safe time, able to use more freely than most places around town. ",,,,
Seattle,Third Culture Coffee,Operational Manager,2017,2018,4,14.5,Hourly,40,FT,pto only,,,,
Seattle,Storyville Coffee Company,Barista,2019,Current,1,12.5,Hourly,40,FT,"PTO, health insurance",,,,
Seattle,Macrina Bakery,Manager,2016,2019,4,14,Hourly,40,FT,"PTO, health insurance ",,,,
Seattle,General Porpoise,Assistant Manager,2019,Current,11,16.5,Hourly,40,FT,"PTO, health insurance/vision/dental, 401k contributions, wellness reimbursement, employee incentive, employee discount throughout restaurant group, pre-tax deductions from paychecks, shift drinks",,,,
Seattle,Fulcrum,Barista,2019,Current,5,14.5,Hourly,40,FT,"PTO, Health, and Dental",,,,
Seattle,Admiral Bird,Barista,2018,Current,0,12.5,Hourly,40,FT,Unknown,,,,
Seattle,Slate Coffee Roasters,Barista,2016,2017,3,16,Hourly,40,PT,,,,,
Seattle,Caffe Umbria,Supervisor,2018,2019,0,12.5,Hourly,40,FT,,,,,
"Washington, D.C.",Commonwealth Joe,Barista,2017,Current,,13.62,Hourly,40,FT,"Free drinks on shift, $1 drinks off shift, Capital bikeshare yearly discounts and car2go membership discounts",,,,
"Washington, D.C.",Lamplighter Coffee Roasters,Barista,2017,,,10.5,Hourly,40,FT,Insurance Subsidary,,,,
"Washington, D.C.",Ceremony Coffee,Barista,2010,Current,,13.5,Hourly,40,PT,None,,,LGBTQ+,
"Washington, D.C.",Mudhouse Coffee Roasters,Bar Manager,2017,Current,,25480,Salary,40,FT,None,,,,
Philadelphia,Amalgam,Shift Leader,2015,2018,,9,Hourly,41,FT,None,,,,
Denver,Sweet Bloom,Barista,2019,Current,4.5,11,Hourly,42,PT,Accrued PTO and Free Coffee.,,,,
"Greenville, NC",Methodical Coffee,Lead Barista,2014,2016,,9,Hourly,42,,None,,,,
San Francisco,Sightglass,Barista,2015,2017,6,17.5,Hourly,42,PT,None,,,,
"Greenville, NC",Methodical Coffee,Barista,,,,10.5,Hourly,42.5,,None,,,,
Seattle,Cupcake Royale,Barista,2011,2012,1,11.5,Hourly,42.5,FT,"Healthcare, pto ",,,,
Chicago,Dollop,Store Manager,2018,Current,,15,Hourly,43,FT,Basic Health care (no behavioral/mental healthcare coverage),,,,
San Francisco,Verve Coffee Roasters,Assistant Manager,2017,Current,3,19.58,Hourly,44,FT,PTO/insurance for FT employees ,,,,
Austin,Caffe Medici,Assistant Manager,2016,2019,1,9.55,Hourly,45,FT,Health insurance for full time,,,,
Austin,Medici,Barista,2019,Current,3,7.5,Hourly,45,FT,Health insurance for full time employees,,,,
Boston,Speckled Ax,Barista,2018,Current,4,13.5,Hourly,45,FT,Paid Sick Time,,,,
Chicago,Dollop,Barista,2019,Current,,11,Hourly,45,FT,"Medical, eligible",,,,
Michigan,Literati Coffee,Barista,2018,Current,4,10,Hourly,45,FT,None,,,,
New York,Ovenly,Barista,2018,2019,1,14,Hourly,45,FT,"health insurance, commuter benefit",,,,"Yes, the tips really varied that much, depending on shift and location. The company used to proudly pay minimum wage to all baristas (and more for leads) but, last I heard, they have refused to raise to $15."
New York,Ninth Street Espresso,Barista,2011,2014,0.5,15,Hourly,45,PT,None,,,,"Starting pay was $11/hr raised to $12 after being approved to work on bar, though this raise often took a while to actually get processed.  Other raises were based on who asked for one.  Generally a good company to work for."
New York,Good People Coffee Co,Lead Barista,2017,2019,3,17.5,Hourly,45,FT,,Male,,,
Philadelphia,Rival Brothers,Barista,2019,Current,,10,Hourly,45,PT,2 days PTO,,,,
Philadelphia,High Point Cafe,Barista,2018,Current,,9.5,Hourly,45,PT,Health care was cut,,,,
Philadelphia,Joe Coffee,General Manager,2017,Current,,11.5,Hourly,45,PT,"Health, vision, dental at 25 hrs",,,,
Philadelphia,Rival Brothers,Shift Leader,2018,2015,,27500,Salary,45,FT,None,,,,
Philadelphia,Rival Brothers,Barista,2019,2019,,11,Hourly,45,FT,None,,,,
Philadelphia,Rival Brothers,Shift Leader,2017,2019,,28500,Salary,45,FT,None,,,,
Philadelphia,Reanimator,Manager,2018,Current,,27000,Salary,45,FT,None,,,,
Philadelphia,Elixr,Barista,2018,Current,,11,Hourly,45,PT,PTO after 1 year,,,,
Philadelphia,Elixr,Barista,2017,Current,,11,Hourly,45,PT,PTO after a year,,,,
Philadelphia,United By Blue,Barista,2019,Current,,10,Hourly,45,FT,,,,,
Philadelphia,Rival Brothers,Barista,2019,Current,,11,Hourly,45,PT,,,,,
Portland,Green Bridge Coffee,Barista,2019,Current,4,12.5,Hourly,45,FT,Free coffee/food. Paid breaks,,,,
Portland,Coava Coffee Roasters,Barista,2017,Current,4,12.5,Hourly,45,FT,"Health care (all employees), 1 week PTO, 1 week sick time, 3 weeks paid family leave, life insurance & short term disability paid for all employees,  1 free bag coffee per week, free coffee drinks for me/partner, 1 pastry per day, discount merch, holiday bonus for all employees ($100 per year worked at company), occasional discounts local restaurants   ",,,,
Portland,Heart,Shift Leader,2018,Current,12,15.4,Hourly,45,FT,"Health, Vision, Dental, FSA, 401k, Life Insurance, Free weekly coffee, employee discounts on merch and food. ",,,,
Portland,Stumptown Coffee,Barista,2017,Current,5,13.02,Hourly,45,FT,"PTO/sick leave, health, dental, vision, 401k, free whole bean bag weekly, other perks.",,,,
Portland,upper left roasters,Barista,2019,Current,10,12.5,Hourly,45,PT,shift meal,,,,
Portland,Water Avenue Coffee,Barista,2017,Current,4,14.5,Hourly,45,FT,"Sick time (40 hrs), health insurance, free coffee (half off beans)",,,,
San Francisco,Ritual Coffee ,Barista,2019,Current,3,15.59,Hourly,45,PT,"Health for full time, pto after 1 year ",,,,
San Francisco,Temple Coffee Roasters,Barista,2019,Current,2,12.5,Hourly,45,FT,"Health insurance, 401k",,,,
San Francisco,Ritual Coffee ,Barista,2018,Current,7,15.5,Hourly,45,PT,"Pto, health insurance",,,,
Seattle,Conduit Coffee Company,Manager/Coffee Roaster,2018,Current,11,20,Hourly,45,FT,"Free coffee, love, support, trust",,,,
Seattle,Courtney ,Manager,2018,Current,6,20,Hourly,45,FT,"Insurance, pro, employee discounts ",,,,
Seattle,Caffe Ladro,Barista,2018,2018,1,11.5,Hourly,45,PT,None,,,,
Seattle,Beacons Espresso,Barista and Roaster,2016,Current,8,13,Hourly,45,PT,None,,,,
Seattle,Wayward Coffeehouse,Barista,2017,2019,1,15,Hourly,45,FT,None,,,,
Seattle,Olympia Coffee,Barista,2018,Current,5,13.5,Hourly,45,FT,PTO / Health Insurance,,,,
Seattle,Caffe Vita,Assistant Manager,2014,2019,8,18.5,Hourly,45,FT,"PTO At full time, insurance at full time",,,,
Seattle,Macrina Bakery,Barista,2019,Current,1,13.75,Hourly,45,FT,"PTO, Health, 401k plans (after a year)",,,,
Seattle,Cherry Street Coffee,Barista,2018,2019,2,12,Hourly,45,FT,,,,,
"Washington, D.C.",Lamplighter Coffee Roasters,Lead Barista,2014,Current,,12.5,Hourly,45,FT,None,,,,
Chicago,Backlot Coffee,Barista,2017,Current,,12.5,Hourly,47,PT,Managers only,,,,
New York,Joe Coffee,Educator ,2015,2019,3,14,Hourly,47.5,FT,Health insurance ,,,,
Seattle,Bakery Nouveau,Barista,2019,Current,1,12,Hourly,47.5,FT,,,,,
Seattle,Chocolati,Barista,2019,Current,0,12.25,Hourly,47.5,PT,None,,,,
Austin,Brentwood Social House,Front of House Manager,2017,Current,6,12,Hourly,48,FT,None,,,,
New York,Gimme Coffee,Lead Barista,2018,2018,5,13.5,Hourly,48,FT,Health Insurance,,,,
Portland,Nossa Familia Coffee,Shift Leader,2017,2019,2,15,Hourly,48,FT,"PTO, health care, free coffee drinks",,,,
Portland,Nossa Familia Coffee,Shift Leader,2017,2019,3.5,18,Hourly,48,FT,"PTO, subsidized health care, free coffee, free drinks, 35% off food and Merch. Financial support in tickets to competitions and self proposed learning opportunities.",,,,
Seattle,Sugar Bakery,Lead Barista,2017,2019,3,14.5,Hourly,48,FT,"Health Insurance, yes. PTO was offered but I was lied to about it.",,,,
Seattle,Bon Appetit Management Company,Shift Leader,2016,2018,6,17,Hourly,48,FT,"Health, PTO, easy to use sick time, holiday pay",,,,
Seattle,Olympia Coffee,Barista,2018,2019,7,13.5,Hourly,48,FT,"Pto, health insurance",,,,
Austin,Seventh Flag,Barista,,Current,2,9,Hourly,50,PT,Free drinks ,,,,
Austin,Medici,Shift Leader,2018,2019,5,21553,Salary,50,FT,"health and dental 50% paid by company optional for full time baristas, ull health and dental, 2 weeks PTO as leadership",,,,
Austin,Medici,General Manager,2019,Current,3,21552,Salary,50,FT,"health insurance, PTO, free coffee at stores, discounted food",,,,
Austin,Fleet,Barista,2017,Current,,10.5,Hourly,50,FT,None,,,,
Austin,Medici,Barista,,Current,0,8.05,Hourly,50,FT,None,,,,
Austin,Summermoon,Barista,2019,Current,4,8,Hourly,50,FT,One free drink per shift ,,,,
Austin,Caffe Medici,Barista,2017,2018,2,7.87,Hourly,50,FT,Health Insurance,,,,
Boston,La Colombe,Barista,2019,Current,0,12,Hourly,50,PT,Healthcare for full time,,,,
Boston,3 Little Figs,Lead Barista,2015,,7,17,Hourly,50,PT,None,,,,
Boston,Jaho Coffee ,Barista,2015,Current,4,13,Hourly,50,FT,None,,,,
Boston,La Colombe,Barista,2018,Current,0,12.75,Hourly,50,FT,PTO,,,,
Denver,Pablo's,Barista,2018,Current,3,11.25,Hourly,50,PT,"start accumulating PTO after a year, health care for ~25+ hr workers, 401k matching after a year, yearly bonus after a year, free coffee, 50% off merch, time and a half for any non-tipped work (roasting, warehouse, etc)",,,,
Michigan,Madcap Coffee Company,Store Manager,2019,Current,6,32500,Salary,50,FT,"Health insurance, pto, hsa",,,,
Michigan,Literati Coffee,Assistant Manager,2018,Current,2,12,Hourly,50,FT,None,Non-binary / non-comforming ,Black/African American,Queer,
Michigan,Ferris Coffee & Nut,Brew Tech,2018,Current,0,10,Hourly,50,PT,,,,,
New York,Joe Coffee,Assistant Manager,2016,Current,0,18,Hourly,50,PT,Health insurance ,,,,
New York,Variety Coffee Roasters ,Manager,2019,Current,5,18,Hourly,50,FT,Health insurance ,,,,
New York,Press coffee bar,Barista,2015,2017,1,9.5,Hourly,50,FT,None,Female,Caucasian ,Straight,
New York,Cafe Madeline,Barista,2019,Current,1,16,Hourly,50,FT,None,Male,Caucasian ,Straight,
New York,Joe Coffee,Trainer,2014,Current,7,54500,Salary,50,FT,"PTO, insurance",,,,"Decent performance review system in place, but eligibility for raises lack clarity/vague/can be interpreted many different ways"
Philadelphia,Joe Coffee,Shift Leader,2014,Current,,14,Hourly,50,FT,Health care,,,,
Philadelphia,High Point Cafe,Barista,2010,2017,,8.5,Hourly,50,FT,Health insurance (low quality),,,,
Philadelphia,Joe Coffee,Barista,2017,Current,,12,Hourly,50,PT,Healthcare & dental available at 25+ hrs/week,,,,
Philadelphia,Plenty Cafe,Barista,2018,2019,,8.25,Hourly,50,FT,None,,,,
Philadelphia,Rival Brothers,Barista,2019,2019,,9,Hourly,50,PT,None,,,,
Philadelphia,Green Line,Manager,2019,Current,,11,Hourly,50,FT,None,,,,
Philadelphia,Cafe Ole,Barista,2019,2019,,7.5,Hourly,50,PT,None,,,,
Philadelphia,Elixr,Barista,2014,2019,,11,Hourly,50,PT,PTO,,,,
Philadelphia,Good Karma,Barista,2018,Current,,8.5,Hourly,50,PT,PTO,,,,
Philadelphia,Elixr,Shift Leader,2011,2014,,12,Hourly,50,FT,,,,,
Portland,Barista,Barista,2018,Current,3,13,Hourly,50,FT,"free coffee, comps for partners",,,,
Portland,Barista ,Barista,2019,Current,12.5,12.5,Hourly,50,PT,"Good tips, free coffee. ",,Caucasian ,,
Portland,never coffee ,Barista,2019,Current,4,13.5,Hourly,50,PT,half off bagged coffee / free drinks of whatever on and off shifts,,,,
Portland,Good Coffee,Barista,2019,Current,5,12.5,Hourly,50,FT,"Heath care, 401k, free coffee, wholesale price on merch, free bag of coffee every two weeks",,,,
Portland,Barista ,Barista,2016,,5,9.25,Hourly,50,FT,None,,,,
Portland,Stumptown Coffee,Barista,2018,2019,4,12.5,Hourly,50,PT,"PTO, but it was like nothing... health benefits and free coffee. ",,,,
Portland,Good Coffee,Director of Hospitality ,2018,Current,0,15,Hourly,50,FT,"PTO, health care, free coffee for employee and spouse, 20% all other items",,Caucasian ,,
Portland,Grand central bakery ,Retailer,2015,2019,0,,Hourly,50,PT,"Pto, some free coffee/food, high deductible healthcare ",,,,
San Francisco,Retrograde Coffee Roasters,Barista,2019,Current,0,14,Hourly,50,PT,,,,,
San Francisco,Acre Coffee,Shift Leader,2015,2016,9,11,Hourly,50,PT,None,,,,
San Francisco,Blue Bottle Coffee,Barista,2019,Current,0,16,Hourly,50,FT,PTO / Health Insurance,,,,
San Francisco,Blue Bottle Coffee,Lead Barista,2019,Current,1,18.5,Hourly,50,FT,PTO / Health Insurance,,,,
San Francisco,Wrecking Ball Coffee Roasters,Barista,2019,Current,2,17,Hourly,50,FT,"Pro, full insurance plan for full time employment ",,,,
San Francisco,Blue Bottle Coffee,Barista,2018,Current,4,16,Hourly,50,FT,"PTO, health/vision/dental insurance, commuter check",,,,
San Francisco,Blue Bottle Coffee,Lead Barista,2018,Current,3,20,Hourly,50,FT,"PTO, sick leave, family leave, full medical, SCA memberships",,,,
Seattle,Cafe Ladro,Barista,2018,Current,4,12.5,Hourly,50,FT,Accrue sick time. Offer health insurance. Can get subsidized orca card.,,,,
Seattle,Cherry Street Coffee,Barista,2019,Current,6,12,Hourly,50,FT,"dental insurance is given right away, health benefits after a full year of employment. No time off offered other than the required 1 hour of sick time per 40 hours worked. Sick outs are pretty easy to call for but you  have to work an “ on call” shift in the next week or two to make up for it. ",,,,
Seattle,Victrola Coffee Roasters,Barista,2017,2019,6,12.5,Hourly,50,FT,Health insurance if you worked 35+ hours a week,,,,
Seattle,Caffé Fiore/Caffe Vita,Barista,2018,Current,4,15,Hourly,50,FT,"Health, dental, eye insurance for full-time emoyees. Some paid time off.",,,,
Seattle,Eastlake Cafe,Barista,2019,Current,7,13,Hourly,50,PT,None,,,,
Seattle,Cherry Street Coffee,Barista,2019,Current,0,12,Hourly,50,PT,None,,,,
Seattle,Fuel,Barista,2018,Current,1,13.5,Hourly,50,PT,None,,,,
Seattle,Herkimer Coffee,Barista,2018,Current,2,13,Hourly,50,PT,None,,,,
Seattle,Cafe Ladro,Barista,2019,Current,3,12,Hourly,50,PT,None,,,,
Seattle,Tougo,Barista,2019,Current,3,13,Hourly,50,FT,None,,,,
Seattle,Caffe Vita,Store Manager,2015,Current,3,18.5,Hourly,50,FT,PTO / Health Insurance,,,,
Seattle,Cafe hitchcock,Barista,2019,Current,2,13,Hourly,50,FT,PTO,,,,
Seattle,Caffe Vita,Barista,2017,Current,0,15,Hourly,50,FT,"Pto, health insurance",,,,
Seattle,La Marzocco Cafe,Barista,2017,Current,4.5,15.4,Hourly,50,FT,"PTO, Health insurance 100% paid by company, dental, vision, 401k ",,,,
Seattle,Urbane Market,Barista,2016,2019,0,16,Hourly,50,FT,"PTO, Health, Hyatt Travel Benefit",,,,
Seattle,Caffe Ladro,Lead Barista,2017,2019,4,12.5,Hourly,50,FT,They offered health insurance that I couldn’t afford on my wages. ,,,,
Seattle,Mercury’s coffee,Barista,2019,Current,2,17.5,Hourly,50,FT,,,,,
Seattle,Cherry Street Coffee,Assistant Manager,2016,Current,3,14,Hourly,50,PT,,,,,
"Washington, D.C.",Peregrine,Barista,2015,2016,,13.75,Hourly,50,FT,Health insurance and vacation,,,,
"Washington, D.C.",Peregrine Espresso,Barista,2017,Current,,13.75,Hourly,50,FT,"Health insurance plans available for individual enrollment (I did not); free drinks on- and off-clock; 25% employee discount; one ""umbrella"" (person who your free drink privileges also cover).",,,LGBTQ+,
"Washington, D.C.",Artifact Coffee,Barista,2018,Current,,10.5,Hourly,50,FT,"Healthcare, Pool access, Foodshed discounts ",,,,
"Washington, D.C.",Peregrine Espresso,Barista,2014,Current,,14.5,Hourly,50,PT,None,Female,,Queer,
"Washington, D.C.",Baked and Wired ,Barista,2018,Current,,15.5,Hourly,50,FT,None,,Black/African American,,
"Washington, D.C.",Commonwealth Joe ,Barista,2018,Current,,10.51,Hourly,50,FT,"PTO, Health Insurance if Full time ",,,,
"Washington, D.C.",La Colombe,Barista,2019,Current,,,Hourly,50,PT,,,,,
New York,East One Coffee,Barista,2019,Current,3.5,16,Hourly,52.5,FT,2 weeks PTO after 90 days. No insurance or other benefits,,,,
Seattle,Caffe Ladro,Barista,2019,Current,5,12,Hourly,52.5,PT,None,,,,
Seattle,Convoy Coffee,Barista,2017,2019,7,15,Hourly,52.5,FT,"Wonderful work/life balance, 4 day work week, plenty of farmer's market trades, flexible schedule with whatever time you needed off.",,,,
"Washington, D.C.",The Cup We All Race 4,Barista,2018,Current,,15,Hourly,53,PT,Small employer contribution toward health & dental insurance (~$42/mo contribution),,,,
Denver,Amethyst Coffee,Barista,2019,Current,5,12,Hourly,54,FT,None,,,,
Boston,Bookery Manchester,Barista,2018,,1,11,Hourly,55,PT,None,,,,
Denver,Sweet Bloom,Barista,2016,Current,0,13,Hourly,55,PT,Everyone just started earning PTO! Even part timers! Also I was given 6 weeks paid maternity leave! We get all the free coffee we need! We are often treated to meals/desserts. ,,,,
"New Haven, CT",Koffee,Barista,2013,2015,,12,Hourly,55,PT,None,,,,
New York,Irving farm,Trainer,,,5,16.5,Hourly,55,FT,Health insurance/sick days ,Female,,,"Was fired for disputing unfair wage distribution. People hired after me, with less experience, made more than me. Was soon fired after for bringing it up. "
Philadelphia,Dottie's Donuts,Barista,2018,Current,,9,Hourly,55,PT,None,,,,
Philadelphia,Milk & Honey,Barista,2016,Current,,12,Hourly,55,PT,None,,,,
Philadelphia,La Colombe,Barista,2017,2019,,9.5,Hourly,55,PT,None,,,,
Philadelphia,Parc Restaurant,Barista,2018,Current,,4.5,Hourly,55,FT,Yes,,,,
Philadelphia,United By Blue,Barista,2018,2019,,11,Hourly,55,FT,,,,,
Portland,Portland Coffee Roasters ,Barista,2016,Current,0,13.25,Hourly,55,PT,"Coffee, shift drinks, merch discount, PTO",,,,
Portland,Good Coffee,Barista,2018,Current,5,,Hourly,55,PT,"Health care, free coffee ",,,,
Portland,Sisters Coffee Company,Shift Leader,2015,Current,0,13.5,Hourly,55,FT,PTO / Health Care / Free Coffee / Merch Discounts / IRA,,,,
San Francisco,Sightglass,Barista,2015,2016,4,15.5,Hourly,55,FT,"PTO, Health Insurance, Commuter Benefits",,,,
San Francisco,Sightglass,Barista,2019,Current,7,16,Hourly,55,FT,PTO/ insurance/ 401K,,,,
San Francisco,Red Door Coffee,Barista,2018,,2,15.59,Hourly,55,FT,"Sick days, health insurance for full time",,,,
Seattle,Venture Coffee Company,Manager,2018,Current,8,18,Hourly,55,FT,50% health insurance after 1.5yrs,,,,
Seattle,Fresh Flours,Barista,2019,Current,10,15,Hourly,55,PT,None,,,,
Seattle,HUB Coffee,Barista,2019,Current,12,12,Hourly,55,PT,None,,,,
New York,Joe Coffee,Assistant Manager,2018,2019,5,18,Hourly,56,,Health insurance,,,,
New York,Joe Coffee,Barista,2015,2018,0,12,Hourly,56,PT,"Health insurance, paid sick hours",Non-binary / non-comforming ,Caucasian ,Queer,
New York,Seven Grams,Shift Leader,2019,2019,12,19,Hourly,56,FT,None,,,,
New York,Stumptown Coffee,Barista,2019,Current,5,15,Hourly,56,FT,PTO / Dental / Medical / Vision / Chiropractor / Acupuncture / 401k,,,,
Portland,Society Hotel ,Shift Leader,2017,Current,6,17,Hourly,56,FT,"PTO, full healthcare coverage, free coffee and shift meal, opportunity for all paid for vacation/trip",,,,
Seattle,DERU Market,Shift Leader,2015,2017,0,10,Hourly,56,FT,None,,,,
"Washington, D.C.",Swing’s Coffee Roaster’s,Barista,2019,Current,,12,Hourly,56,FT,Health insurance ,Female,,Queer,
"Washington, D.C.",La Colombe,Manager,2019,Current,,14,Hourly,56,FT,None,,,Queer,
Austin,Summermoon,Barista,2019,Current,0,9.5,Hourly,60,PT,2 free drinks per shift,,,,
Austin,Coffee Shark,Supervisor,2018,Current,4,13.25,Hourly,60,FT,"50% off meals on shift, 20% off meals off shift. free coffee drinks all day when working ",,,,
Boston,La Colombe,Barista,2017,Current,0,15,Hourly,60,FT,PTO / Health Insurance,Female,Black/African American,Queer,
Colorado Springs,Corvus,Barista,2019,Current,2,9.25,Hourly,60,FT,Free coffee,,,,
Colorado Springs,Allegro Coffee Roasters,Barista,2018,2019,2,15,Hourly,60,FT,"PTO, insurance, Whole Foods discounts",,,,
Dallas Fort Worth,Houndstooth Coffee,Barista,2016,2016,2,7.5,Hourly,60,FT,Health insurance,,,,
Dallas Fort Worth,Ascension ,Barista,2018,Current,8,10,Hourly,60,FT,Insurance,,,Queer,
Dallas Fort Worth,Cultivar Coffee,Barista,2017,2018,3,9.5,Hourly,60,FT,None,,,,
Denver,Corvus,Barista,2019,Current,2,9.25,Hourly,60,FT,Free coffee drinks and weekly bag of coffee,,,,
Denver,Huckleberry Roasters ,Barista,2018,Current,2,12.5,Hourly,60,FT,"Health/Vision/Dental (FT only). PTO accumulates for every 80 hours worked (FT & PT). Set annual wage increases. Commuter benefits. Free coffee & normal on-shift free stuff/meals. Good support for comps, professional growth, personal interests, etc.",,,,
Michigan,Madcap Coffee Company,Barista,2018,Current,3,11,Hourly,60,FT,"2 Weeks PTO, health benefits ",,,,
New York,Ninth Street Espresso,Barista,2018,Current,0,14.5,Hourly,60,FT,None,Female,Caucasian,Queer,
New York,Little Skips,Barista,2017,Current,0.5,15,Hourly,60,FT,None,Non-binary / non-comforming ,Caucasian ,Bisexual,
New York,Joe Coffee,Director of Operations,2009,2016,0,75000,Salary,60,FT,None,Female,Caucasian ,Bisexual,
New York,"Klein’s at The Hoxton, Williamsburg ",Barista,2018,Current,2,16,Hourly,60,FT,"PTO, 401K, Health Insurance, Discounts ",Male,,Gay,
Philadelphia,Reanimator,Barista,2017,Current,,11,Hourly,60,FT,Accrued PTO,,,,
Philadelphia,Ultimo,Coffee Quality Manager,2016,Current,,13,Hourly,60,FT,Health care reimbursement,,,,
Philadelphia,Old City Coffee,Store Manager,2017,,,13,Hourly,60,FT,"Healthcare, 401k",,,,
Philadelphia,La Colombe,Barista,2015,2017,,9.75,Hourly,60,PT,None,,,,
Philadelphia,La Colombe,Barista,2015,2018,,11,Hourly,60,FT,None,,,,
Philadelphia,Hive,Barista,2017,2018,,8,Hourly,60,PT,None,,,,
Philadelphia,Brown Street Coffee,Barista,2018,2019,,10,Hourly,60,FT,None,,,,
Philadelphia,Stacks Espresso Bar,Barista,2018,2019,,11,Hourly,60,PT,None,,,,
Philadelphia,Green Line,Barista,2018,Current,,8.5,Hourly,60,PT,None,,,,
Philadelphia,Luna Cafe,Barista,2016,2017,,5.25,Hourly,60,PT,None,,,,
Philadelphia,Cafe Lift Narberth,Barista,2019,2019,,5,Hourly,60,FT,None,,,,
Philadelphia,Gold Standard Cafe,Barista,2019,Current,,5,Hourly,60,PT,None,,,,
Philadelphia,Green Line,Barista,2018,2019,,8,Hourly,60,FT,PTO,,,,
Philadelphia,Ultimo,Barista,2016,Current,,10.25,Hourly,60,FT,PTO,,,,
Portland,Barista,Barista,2011,2016,6,13,Hourly,60,FT,"free coffee and beverages, free pastries, free merchandise. no health or PTO at the time.",,,,
